Model,InitVec,Encode,Decode,Partial,NumLayer,Scorer,ScorerNumLayer,NumHead,Sampling,f1_micro,f1_macro,recall_0,precision_0,f1_0,labelratio_0,recall_1,precision_1,f1_1,labelratio_1,recall_2,precision_2,f1_2,labelratio_2,searchspace
transformer,onehot,sum,pure,-,2,gru,1,4,-1,0.5761528326745718,0.5115255213208251,0.335,0.50187265917603,0.40179910044977507,0.6675,0.8303621169916434,0.607995105037732,0.7019898740138937,1.3657381615598885,0.361,0.5340236686390533,0.43078758949880663,0.676,1
transformer,onehot,pure,AvgAgg,-,2,gru,1,4,-1,0.2635046113306983,0.13903371567605147,0.0,0,0,0.0,0.0,0,0,0.0,1.0,0.2635046113306983,0.4171011470281544,3.795,1
transformer,onehot,pure,pure,-,2,gru,1,4,-1,0.5335968379446641,0.44676456986087865,0.3135,0.38161898965307367,0.34422179522371676,0.8215,0.8272980501392758,0.6156716417910447,0.7059662467316377,1.3437325905292479,0.2265,0.40338379341050756,0.29010566762728146,0.5615,1
transformer,onehot,pure,pure,partial,2,sm,1,4,-1,0.47299077733860345,0.21407274895646988,0.0,0,0,0.0,1.0,0.47299077733860345,0.6422182468694096,2.114206128133705,0.0,0,0,0.0,1
transformer,onehot,RankQ,AvgAgg,-,2,gru,1,4,-1,0.5757575757575758,0.5056287243948102,0.335,0.5048982667671439,0.40276525398256685,0.6635,0.8467966573816156,0.6030549494147986,0.7044374927586606,1.4041782729805015,0.33,0.5400981996726678,0.40968342644320305,0.611,1
transformer,onehot,sum,AvgAgg,-,2,gru,1,4,-1,0.2635046113306983,0.13903371567605147,1.0,0.2635046113306983,0.4171011470281544,3.795,0.0,0,0,0.0,0.0,0,0,0.0,1
transformer,onehot,PosEnc,AvgAgg,-,2,gru,1,4,-1,0.2635046113306983,0.13903371567605147,0.0,0,0,0.0,0.0,0,0,0.0,1.0,0.2635046113306983,0.4171011470281544,3.795,1
transformer,onehot,sum,PrevQ,-,2,gru,1,4,-1,0.5964426877470356,0.5373235121121535,0.353,0.5494163424124514,0.4298325722983257,0.6425,0.8426183844011143,0.6128444084278768,0.7095941825005864,1.3749303621169917,0.398,0.581446311176041,0.4725437815375483,0.6845,1
transformer,onehot,RankQ,pure,-,2,sm,1,4,-1,0.5862977602108037,0.5265842093500387,0.351,0.5192307692307693,0.418854415274463,0.676,0.8295264623955432,0.6123791898005346,0.7046019164793564,1.3545961002785516,0.385,0.56,0.4562962962962963,0.6875,1
transformer,onehot,pure,PrevQ,-,2,sm,1,4,-1,0.5862977602108037,0.5252580564121409,0.32,0.5446808510638298,0.40314960629921265,0.5875,0.8328690807799443,0.6061220352726535,0.7016308811451366,1.3740947075208914,0.41,0.553306342780027,0.47099368179207346,0.741,1
transformer,onehot,RankQ,PrevQ,-,2,gru,1,4,-1,0.47299077733860345,0.21407274895646988,0.0,0,0,0.0,1.0,0.47299077733860345,0.6422182468694096,2.114206128133705,0.0,0,0,0.0,1
transformer,adj,sum,pure,-,2,sm,1,4,-1,0.6017127799736496,0.5607516898029407,0.415,0.5478547854785478,0.4722617354196301,0.7575,0.7927576601671309,0.614156236512732,0.6921206225680934,1.290807799442897,0.4455,0.6183206106870229,0.5178727114210986,0.7205,1
transformer,adj,RankQ,AvgAgg,-,2,sm,1,4,-1,0.5993412384716732,0.5740682147892603,0.493,0.510880829015544,0.5017811704834606,0.965,0.7200557103064067,0.633578431372549,0.6740547588005215,1.1364902506963788,0.489,0.6189873417721519,0.5463687150837988,0.79,1
transformer,adj,pure,AvgAgg,-,2,sm,1,4,-1,0.5862977602108037,0.5564929376955061,0.4205,0.5387572069186419,0.4723392305532154,0.7805,0.7236768802228413,0.6130250117980179,0.6637710781808892,1.1805013927576602,0.5055,0.5644891122278057,0.5333685043524136,0.8955,1
transformer,adj,sum,AvgAgg,-,2,sm,1,4,-1,0.5989459815546772,0.5781268233002999,0.4845,0.5283533260632497,0.5054773082942097,0.917,0.6880222841225627,0.6474442988204456,0.6671168129642134,1.0626740947075208,0.5535,0.5703245749613601,0.5617863486424766,0.9705,1
transformer,adj,sum,pure,partial,2,sm,1,4,-1,0.5156785243741765,0.42416576655984417,0.1475,0.4263005780346821,0.2191679049034175,0.346,0.796100278551532,0.5884290714432777,0.676689949094353,1.3529247910863509,0.3805,0.3728564429201372,0.376639445681762,1.0205,1
gat,adj,sum,-,-,2,sm,1,4,-1,0.505270092226614,0.4252129965305711,0.238,0.40963855421686746,0.30107526881720426,0.581,0.7944289693593315,0.5171350861287398,0.6264689730917079,1.5362116991643453,0.2535,0.5553121577217963,0.3480947476828012,0.4565,1
transformer,adj,pure,AvgAggRes,-,2,sm,1,4,-1,0.5376811594202898,0.457562567792003,0.2775,0.5050045495905369,0.35818005808325265,0.5495,0.8356545961002786,0.5398596364945114,0.6559527714004592,1.5479108635097494,0.263,0.563169164882227,0.35855487389229723,0.467,1
gat,adj,-,-,-,2,sm,1,4,-1,0.5054018445322793,0.4293259878591873,0.2375,0.3945182724252492,0.29650436953807735,0.602,0.783008356545961,0.5248319641523524,0.6284372904091214,1.4919220055710307,0.275,0.5339805825242718,0.3630363036303631,0.515,1
transformer,adj,pure,pure,-,2,sm,1,4,-1,0.5042160737812912,0.4579731509403211,0.244,0.36941710825132473,0.29388738331827763,0.6605,0.6724233983286908,0.5551977920883164,0.6082136558327035,1.211142061281337,0.4625,0.4815200416449766,0.4718184136699822,0.9605,1
hnhn,adj,-,-,-,2,sm,1,4,-1,0.4635046113306983,0.4319226962313194,0.3215,0.3689041881812966,0.3435746727224152,0.8715,0.5891364902506964,0.5298096192384769,0.5579002901609075,1.1119777158774373,0.38,0.40970350404312667,0.3942931258106356,0.9275,1
transformer,adj,RankQ,AvgAggRes,-,2,sm,1,4,-1,0.5868247694334651,0.5664251011468777,0.49,0.5128205128205128,0.5011506008693429,0.9555,0.6763231197771588,0.6334463866423167,0.6541829449009834,1.0676880222841225,0.523,0.5666305525460456,0.5439417576703068,0.923,1
transformer,adj,pure,pure,partial,2,sm,1,4,-1,0.4728590250329381,0.28780329939434474,0.0045,0.45,0.00891089108910891,0.01,0.9100278551532034,0.48171630787378356,0.6299652911685307,1.8891364902506964,0.1565,0.39720812182741116,0.22453371592539456,0.394,1
transformer,adj,sum,AvgAggRes,-,2,sm,1,4,-1,0.5992094861660079,0.5653098011092518,0.4755,0.5532286212914486,0.5114278031728958,0.8595,0.7601671309192201,0.6172811581090251,0.6813131943577581,1.2314763231197772,0.434,0.5986206896551725,0.5031884057971016,0.725,1
transformer,adj,RankQ,pure,-,2,sm,1,4,-1,0.6038208168642951,0.5727873415430861,0.409,0.5664819944598338,0.47502903600464574,0.722,0.7373259052924791,0.6384466956102267,0.6843329886246122,1.154874651810585,0.559,0.559,0.559,1.0,1
transformer,rw,sum,pure,-,2,sm,1,4,-1,0.7487483530961792,0.7345624400480656,0.7315,0.824225352112676,0.7750993377483443,0.8875,0.852924791086351,0.7250769595074592,0.7838218354025343,1.1763231197771589,0.579,0.7273869346733668,0.6447661469933185,0.796,1
transformer,rw,RankQ,AvgAgg,-,2,sm,1,4,-1,0.7760210803689065,0.7660804309777332,0.8445,0.8116290245074483,0.8277382994364126,1.0405,0.824791086350975,0.7777777777777778,0.8005948357442206,1.0604456824512536,0.62,0.7285546415981199,0.6699081577525661,0.851,1
transformer,rw,RankQ,PrevQ,-,2,sm,1,4,-1,0.7216815881666018,0.7060893882956666,0.732,0.8399311531841652,0.7822602190756078,0.8715,0.8216886970596169,0.705909617612978,0.7594116180503615,1.164014027515511,0.526,0.6379624014554275,0.5765963277610304,0.8245,1
